Date,Actual_Price,Predicted_Price,Lower_Conf,Upper_Conf
2016-10-19,42.73,41.68,40.476063817005574,42.883936182994425
2016-10-20,42.38,41.68,39.9773771217693,43.3826228782307
2016-10-21,42.17,41.68,39.59472136196958,43.765278638030416
2016-10-24,42.59,41.68,39.27212763399358,44.08787236600642
2016-10-25,42.55,41.68,38.987916854231884,44.372083145768116
2016-10-26,42.08,41.68,38.73097066876571,44.62902933123429
2016-10-27,41.87,41.68,38.494684265377835,44.865315734622165
2016-10-28,41.78,41.68,38.27475424352618,45.08524575647382
2016-10-31,41.55,41.68,38.06819145098548,45.29180854901452
2016-11-01,41.33,41.68,37.872819504214995,45.487180495785005
2016-11-02,40.68,41.68,37.68699540943951,45.67300459056049
2016-11-03,40.23,41.68,37.50944272392903,45.85055727607097
2016-11-04,40.28,41.68,37.33914635978822,46.02085364021178
2016-11-07,41.05,41.68,37.175283287653784,46.184716712346216
2016-11-08,41.16,41.68,37.01717521332372,46.34282478667628
2016-11-09,41.21,41.68,36.864255267978365,46.495744732021635
2016-11-10,40.16,41.68,36.71604395096557,46.64395604903443
2016-11-11,40.42,41.68,36.57213136528582,46.78786863471418
2016-11-14,39.3,41.68,36.43216384380683,46.927836156193166
2016-11-15,40.21,41.68,36.2958337084559,47.0641662915441
2016-11-16,40.98,41.68,36.162871309480714,47.197128690519285
2016-11-17,41.45,41.68,36.03303875340883,47.32696124659117
2016-11-18,41.19,41.68,35.9061249014848,47.4538750985152
2016-11-21,41.11,41.68,35.781941337524245,47.578058662475755
2016-11-22,41.01,41.68,35.66031908497164,47.69968091502836
2016-11-23,40.96,41.68,35.541105909733574,47.818894090266426
2016-11-25,40.87,41.68,35.42416408589072,47.935835914109276
2016-11-28,41.45,41.68,35.309368530749026,48.05063146925097
2016-11-29,41.6,41.68,35.19660523724166,48.16339476275834
2016-11-30,41.02,41.68,35.08576994771083,48.27423005228917
2016-12-01,39.63,41.68,34.97676702513891,48.38323297486109
2016-12-02,40.07,41.68,34.86950848704615,48.49049151295385
2016-12-05,40.2,41.68,34.76391317428939,48.59608682571061
2016-12-06,39.97,41.68,34.65990603242954,48.70009396757046
2016-12-07,40.52,41.68,34.55741748757723,48.80258251242277
2016-12-08,41.41,41.68,34.456382901965114,48.903617098034886
2016-12-09,41.76,41.68,34.35674209714192,49.00325790285808
2016-12-12,41.3,41.68,34.25843893479783,49.10156106520217
2016-12-13,41.47,41.68,34.16142094692913,49.19857905307087
2016-12-14,40.91,41.68,34.06563900842444,49.29436099157556
2016-12-15,38.41,41.68,33.97104704627282,49.38895295372718
2016-12-16,38.61,41.68,33.8776017805081,49.4823982194919
2016-12-19,38.42,41.68,33.78526249275622,49.57473750724378
2016-12-20,39.16,41.68,33.69399081887373,49.66600918112627
2016-12-21,39.15,41.68,33.603750562681675,49.756249437318324
2016-12-22,38.5,41.68,33.51450752822979,49.84549247177021
2016-12-23,38.66,41.68,33.42622936838639,49.93377063161361
2016-12-27,38.92,41.68,33.33888544785298,50.02111455214702
2016-12-28,38.73,41.68,33.252446718958694,50.107553281041305
2016-12-29,38.64,41.68,33.16688560880675,50.19311439119325
2016-12-30,38.67,41.68,33.08217591653022,50.27782408346978
2017-01-03,38.9,41.68,32.99829271957155,50.36170728042845
2017-01-04,40.06,41.68,32.91521228803596,50.44478771196404
2017-01-05,41.34,41.68,32.832912006284374,50.527087993715625
2017-01-06,41.23,41.68,32.75137030103171,50.60862969896829
2017-01-09,41.34,41.68,32.670566575302864,50.689433424697135
2017-01-10,42.3,41.68,32.59048114767336,50.76951885232664
2017-01-11,42.59,41.68,32.511095196286924,50.848904803713076
2017-01-12,42.11,41.68,32.43239070719874,50.92760929280126
2017-01-13,42.27,41.68,32.354350426642895,51.005649573357104
2017-01-17,41.99,41.68,32.27695781686549,51.08304218313451
2017-01-18,42.03,41.68,32.20019701520341,51.15980298479659
2017-01-19,42.09,41.68,32.12405279612169,51.23594720387831
2017-01-20,42.05,41.68,32.04851053595233,51.31148946404767
2017-01-23,42.4,41.68,31.97355618010321,51.38644381989679
2017-01-24,43.9,41.68,31.899176212528722,51.46082378747128
2017-01-25,44.94,41.68,31.825357627274578,51.53464237272542
2017-01-26,44.55,41.68,31.75208790192687,51.60791209807313
2017-01-27,44.42,41.68,31.679354972812096,51.68064502718791
2017-01-30,43.93,41.68,31.60714721180888,51.75285278819112
2017-01-31,44.07,41.68,31.53545340464538,51.82454659535462
2017-02-01,43.78,41.68,31.46426273056749,51.89573726943251
2017-02-02,43.69,41.68,31.393564743273608,51.96643525672639
2017-02-03,43.71,41.68,31.323349353020774,52.036650646979226
2017-02-06,44.42,41.68,31.25360680981546,52.10639319018454
2017-02-07,44.37,41.68,31.184327687609624,52.175672312390375
2017-02-08,45.07,41.68,31.11550286942964,52.24449713057036
2017-02-09,45.08,41.68,31.04712353337157,52.31287646662843
2017-02-10,45.03,41.68,30.979181139401895,52.380818860598104
2017-02-13,45.46,41.68,30.911667416907875,52.448332583092125
2017-02-14,45.02,41.68,30.844574352946026,52.51542564705397
2017-02-15,45.65,41.68,30.77789418114159,52.58210581885841
2017-02-16,45.16,41.68,30.71161937119532,52.64838062880468
2017-02-17,45.1,41.68,30.645742618957577,52.71425738104242
2017-02-21,45.5,41.68,30.580256837032643,52.77974316296736
2017-02-22,45.98,41.68,30.515155145879007,52.84484485412099
2017-02-23,45.41,41.68,30.45043086537407,52.909569134625926
2017-02-24,45.55,41.68,30.38607750681391,52.973922493186095
2017-02-27,45.71,41.68,30.32208876532106,53.037911234678944
